Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Melbourne,2,u,VB,Greg,2.8,3000.0,2.0,1.0,1.0,0.0,66.0,2005.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
Melbourne,1,u,S,RT,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8159,144.972,Northern Metropolitan,17496.0
Melbourne,2,u,S,MICM,2.8,3000.0,2.0,2.0,1.0,0.0,94.0,1965.0,Melbourne,-37.8166,144.9635,Northern Metropolitan,17496.0
Melbourne,2,u,S,MICM,0.0,3000.0,2.0,1.0,0.0,89.0,85.0,2003.0,Melbourne,-37.80802,144.96168,Northern Metropolitan,17496.0
Melbourne,2,u,S,RT,2.8,3000.0,2.0,1.0,0.0,0.0,60.0,2006.0,Melbourne,-37.8084,144.9602,Northern Metropolitan,17496.0
Melbourne,2,u,S,Harcourts,0.0,3000.0,2.0,1.0,1.0,0.0,86.0,1976.0,Melbourne,-37.81267,144.96273,Northern Metropolitan,17496.0
Melbourne,2,u,VB,MICM,2.8,3000.0,2.0,1.0,1.0,0.0,55.0,2014.0,Melbourne,-37.8091,144.9609,Northern Metropolitan,17496.0
Melbourne,1,u,S,LITTLE,2.8,3000.0,1.0,1.0,1.0,0.0,51.0,2005.0,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496.0
Melbourne,1,u,S,Harcourts,2.8,3000.0,1.0,1.0,1.0,0.0,59.0,2006.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
Melbourne,2,u,S,HAR,2.8,3000.0,2.0,1.0,1.0,0.0,84.0,2001.0,Melbourne,-37.808,144.9617,Northern Metropolitan,17496.0
Melbourne,2,u,S,Purplebricks,2.8,3000.0,2.0,1.0,1.0,0.0,80.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
Melbourne,1,u,S,Harcourts,2.8,3000.0,1.0,1.0,1.0,0.0,65.0,1920.0,Melbourne,-37.8168,144.9691,Northern Metropolitan,17496.0
Melbourne,1,u,S,Greg,2.8,3000.0,1.0,1.0,1.0,0.0,,2001.0,Melbourne,-37.8116,144.9603,Northern Metropolitan,17496.0
Melbourne,2,u,VB,Elite,2.8,3000.0,2.0,1.0,1.0,0.0,92.0,,Melbourne,-37.8138,144.952,Northern Metropolitan,17496.0
Melbourne,1,u,S,MICM,2.8,3000.0,1.0,1.0,2.0,0.0,102.0,1965.0,Melbourne,-37.8132,144.9545,Northern Metropolitan,17496.0
Melbourne,1,u,VB,Greg,2.8,3000.0,1.0,1.0,1.0,0.0,,2005.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
Melbourne,2,u,S,Galldon,0.0,3000.0,2.0,1.0,0.0,0.0,47.0,2011.0,Melbourne,-37.81301,144.96924,Northern Metropolitan,17496.0
Melbourne,3,u,S,Greg,2.8,3000.0,3.0,2.0,1.0,0.0,122.0,1998.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,2,u,SP,MICM,2.8,3000.0,2.0,1.0,1.0,0.0,,,Melbourne,-37.8089,144.967,Northern Metropolitan,17496.0
Melbourne,1,u,PI,LITTLE,2.8,3000.0,1.0,1.0,0.0,1414.0,47.0,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
Melbourne,1,u,VB,Whiting,2.8,3000.0,1.0,1.0,0.0,0.0,52.0,2000.0,Melbourne,-37.8199,144.9558,Northern Metropolitan,17496.0
Melbourne,2,u,PI,Dingle,2.8,3000.0,2.0,1.0,1.0,1751.0,,2012.0,Melbourne,-37.8077,144.9668,Northern Metropolitan,17496.0
Melbourne,2,u,VB,Kay,2.8,3000.0,2.0,2.0,1.0,0.0,,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
Melbourne,1,u,S,Harcourts,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496.0
Melbourne,2,u,VB,Dingle,2.8,3000.0,1.0,1.0,1.0,1136.0,69.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
Melbourne,3,u,S,hockingstuart,2.8,3000.0,2.0,2.0,1.0,0.0,89.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,2,u,VB,LITTLE,2.8,3000.0,2.0,1.0,0.0,0.0,66.0,1974.0,Melbourne,-37.8138,144.9548,Northern Metropolitan,17496.0
Melbourne,1,u,VB,Dingle,2.8,3000.0,1.0,1.0,0.0,0.0,57.0,1960.0,Melbourne,-37.8178,144.9607,Northern Metropolitan,17496.0
Melbourne,4,u,VB,hockingstuart,2.8,3000.0,4.0,2.0,1.0,0.0,213.0,1938.0,Melbourne,-37.8177,144.9544,Northern Metropolitan,17496.0
Melbourne,2,u,S,Kay,2.8,3000.0,2.0,2.0,1.0,4230.0,,2006.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
Melbourne,2,u,VB,MICM,0.0,3000.0,2.0,1.0,1.0,0.0,113.0,1999.0,Melbourne,-37.81317,144.95452,Northern Metropolitan,17496.0
Melbourne,3,u,S,Pagan,2.8,3000.0,3.0,2.0,0.0,0.0,,,Melbourne,-37.8114,144.961,Northern Metropolitan,17496.0
Melbourne,2,u,SP,Galldon,2.8,3000.0,2.0,2.0,1.0,0.0,85.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,1,u,SP,Biggin,2.8,3000.0,1.0,1.0,0.0,0.0,41.0,2010.0,Melbourne,-37.8122,144.9582,Northern Metropolitan,17496.0
Melbourne,2,u,VB,Greg,2.8,3000.0,1.0,1.0,1.0,4051.0,68.0,2005.0,Melbourne,-37.8072,144.9623,Northern Metropolitan,17496.0
Melbourne,3,u,S,hockingstuart,2.8,3000.0,3.0,2.0,3.0,0.0,,,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
Melbourne,2,u,SP,Greg,2.8,3000.0,2.0,1.0,1.0,0.0,67.0,2002.0,Melbourne,-37.8188,144.9544,Northern Metropolitan,17496.0
Melbourne,1,u,VB,Castran,2.8,3000.0,1.0,1.0,1.0,0.0,64.0,1920.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
Melbourne,2,u,VB,Greg,2.8,3000.0,2.0,1.0,2.0,0.0,55.0,1917.0,Melbourne,-37.816,144.9535,Northern Metropolitan,17496.0
Melbourne,2,u,PI,Harcourts,0.0,3000.0,2.0,1.0,0.0,0.0,,1950.0,Melbourne,-37.81351,144.96908,Northern Metropolitan,17496.0
Melbourne,2,u,S,Greg,2.8,3000.0,1.0,1.0,1.0,0.0,68.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
Melbourne,1,u,S,Dingle,2.8,3000.0,1.0,1.0,0.0,0.0,64.0,1976.0,Melbourne,-37.8127,144.9627,Northern Metropolitan,17496.0
Melbourne,2,u,SP,Melbourne,0.0,3000.0,2.0,2.0,1.0,0.0,,,Melbourne,-37.81141,144.95879,Northern Metropolitan,17496.0
Melbourne,1,u,VB,Greg,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8078,144.961,Northern Metropolitan,17496.0
Melbourne,3,h,S,Dingle,2.8,3000.0,3.0,2.0,0.0,95.0,,,Melbourne,-37.8092,144.967,Northern Metropolitan,17496.0
Melbourne,2,u,S,MICM,2.8,3000.0,2.0,2.0,1.0,1136.0,88.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
Camberwell,3,h,S,Jellis,7.8,3124.0,3.0,2.0,4.0,877.0,146.0,1960.0,Boroondara,-37.8437,145.0623,Southern Metropolitan,8920.0
Camberwell,4,h,S,Fletchers,7.8,3124.0,4.0,2.0,0.0,670.0,176.0,1930.0,Boroondara,-37.8378,145.089,Southern Metropolitan,8920.0
Camberwell,2,u,SP,LITTLE,7.8,3124.0,2.0,1.0,1.0,896.0,77.0,1960.0,Boroondara,-37.8479,145.0958,Southern Metropolitan,8920.0
Camberwell,5,h,VB,Marshall,7.8,3124.0,5.0,3.0,2.0,801.0,,1920.0,Boroondara,-37.84,145.0548,Southern Metropolitan,8920.0
Camberwell,4,h,PI,RT,7.8,3124.0,4.0,3.0,1.0,0.0,257.0,1912.0,Boroondara,-37.8325,145.0649,Southern Metropolitan,8920.0
Camberwell,3,h,S,Ham,7.7,3124.0,3.0,2.0,4.0,605.0,,,Boroondara,-37.83856,145.08602,Southern Metropolitan,8920.0
